parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,i,inst,j,pname,pstyle,ptype,x,y,zone,parval1_trans,parlbnd_trans,parubnd_trans
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:8_j:0_x:250.00_y:6250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,8,2,0,npf,m,gr,250.00,6250.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:8_j:1_x:750.00_y:6250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,8,2,1,npf,m,gr,750.00,6250.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:8_j:2_x:1250.00_y:6250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,8,2,2,npf,m,gr,1250.00,6250.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:8_j:3_x:1750.00_y:6250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,8,2,3,npf,m,gr,1750.00,6250.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:8_j:4_x:2250.00_y:6250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,8,2,4,npf,m,gr,2250.00,6250.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:8_j:5_x:2750.00_y:6250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,8,2,5,npf,m,gr,2750.00,6250.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:8_j:6_x:3250.00_y:6250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,8,2,6,npf,m,gr,3250.00,6250.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:8_j:7_x:3750.00_y:6250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,8,2,7,npf,m,gr,3750.00,6250.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:8_j:8_x:4250.00_y:6250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,8,2,8,npf,m,gr,4250.00,6250.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:9_j:0_x:250.00_y:5750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,9,2,0,npf,m,gr,250.00,5750.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:9_j:1_x:750.00_y:5750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,9,2,1,npf,m,gr,750.00,5750.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:9_j:2_x:1250.00_y:5750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,9,2,2,npf,m,gr,1250.00,5750.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:9_j:3_x:1750.00_y:5750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,9,2,3,npf,m,gr,1750.00,5750.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:9_j:4_x:2250.00_y:5750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,9,2,4,npf,m,gr,2250.00,5750.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:9_j:5_x:2750.00_y:5750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,9,2,5,npf,m,gr,2750.00,5750.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:9_j:6_x:3250.00_y:5750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,9,2,6,npf,m,gr,3250.00,5750.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:9_j:7_x:3750.00_y:5750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,9,2,7,npf,m,gr,3750.00,5750.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:9_j:8_x:4250.00_y:5750.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,9,2,8,npf,m,gr,4250.00,5750.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:10_j:0_x:250.00_y:5250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,10,2,0,npf,m,gr,250.00,5250.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:10_j:1_x:750.00_y:5250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,10,2,1,npf,m,gr,750.00,5250.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:10_j:2_x:1250.00_y:5250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,10,2,2,npf,m,gr,1250.00,5250.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:10_j:3_x:1750.00_y:5250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,10,2,3,npf,m,gr,1750.00,5250.00,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:2_ptype:gr_pstyle:m_i:10_j:4_x:2250.00_y:5250.00,log,factor,1.0,0.5,2.0,npf_gr,1.0,0.0,1,10,2,4,npf,m,gr,2250.00,5250.00,,0.0,-0.3010299956639812,0.3010299956639812
